idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
77,4,9,not relevant,high,high,medium,not relevant,not relevant,medium,not relevant,not relevant,47.632
78,4,9,not relevant,not relevant,not relevant,medium,not relevant,medium,not relevant,not relevant,not relevant,24.589
79,3,7,medium,not relevant,not relevant,medium,high,low,not relevant,not relevant,not relevant,32.053
80,4,8,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,medium,not relevant,46.242
81,4,9,not relevant,medium,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,23.499
82,4,9,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,not relevant,23.551
83,4,9,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,medium,not relevant,27.938
84,3,9,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,medium,not relevant,40.065
85,3,8,not relevant,medium,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,26.385
86,3,9,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,23.311
87,3,9,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,42.719
88,3,9,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,11.213
89,3,10,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,23.536
90,3,10,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,high,not relevant,64.12100000000001
91,4,10,not relevant,high,not relevant,high,not relevant,not relevant,high,medium,not relevant,743.109
92,3,9,medium,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,not relevant,95.848
